HAPPINESS,AGE,INCOME,EDUCATION,MARITAL_STATUS,GENDER,EMPLOYMENT_STATUS,HEALTH,RELIGION,SOCIAL_CONTACT,POLITICAL_VIEWS
Pretty Happy,65.0,136219.0,12.0,Married,Male,Student,,Religious,6.0,Moderate
Not Too Happy,27.0,33794.0,16.0,Divorced,Female,Employed,,Religious,9.0,Moderate
Pretty Happy,81.0,84609.0,8.0,Single,Male,Retired,Excellent,,13.0,Conservative
Pretty Happy,24.0,81108.0,9.0,Divorced,Female,Employed,Good,Religious,3.0,Liberal
Very Happy,39.0,49557.0,13.0,Married,Male,Employed,Excellent,Not Religious,11.0,
Very Happy,46.0,129595.0,12.0,Single,Female,Employed,Fair,Religious,16.0,Moderate
Very Happy,26.0,131300.0,18.0,Single,Male,Retired,Poor,Religious,20.0,Moderate
Not Too Happy,33.0,88822.0,14.0,Single,Male,Employed,Poor,Religious,5.0,Conservative
,78.0,25816.0,,Married,Male,Student,Good,,10.0,Moderate
Pretty Happy,42.0,75358.0,10.0,Single,Female,Employed,,Not Religious,0.0,Moderate
Very Happy,41.0,98729.0,17.0,Married,Female,Employed,Fair,Religious,20.0,Moderate
,66.0,69524.0,9.0,Single,Female,Employed,Good,Religious,9.0,Liberal
Not Too Happy,51.0,63048.0,,Married,Female,Unemployed,Excellent,Not Religious,0.0,Moderate
Very Happy,24.0,81859.0,,Divorced,Female,Retired,Fair,Religious,18.0,Conservative
,33.0,85255.0,,Married,Female,Employed,Good,Not Religious,10.0,Liberal
Very Happy,33.0,41713.0,12.0,,Female,Unemployed,Excellent,Not Religious,10.0,
Pretty Happy,36.0,57079.0,19.0,Divorced,Female,Employed,Excellent,Religious,11.0,Moderate
Pretty Happy,45.0,33216.0,12.0,Divorced,Female,,,Religious,6.0,Liberal
Pretty Happy,24.0,64906.0,19.0,Single,,Retired,Good,Religious,11.0,Liberal
Very Happy,27.0,136106.0,18.0,Married,Male,Employed,Excellent,,4.0,
Pretty Happy,23.0,133858.0,,Widowed,Female,Employed,Excellent,Religious,5.0,Liberal
Very Happy,21.0,31172.0,11.0,,Female,Student,Excellent,,,Liberal
Very Happy,69.0,,10.0,Single,Male,Retired,Good,Not Religious,16.0,Liberal
Pretty Happy,76.0,101657.0,8.0,,Male,Employed,Fair,Religious,4.0,Moderate
Pretty Happy,59.0,115650.0,19.0,Single,Male,Employed,Good,Religious,0.0,Moderate
,30.0,25006.0,15.0,Married,Female,,Excellent,Religious,16.0,Moderate
Very Happy,80.0,48701.0,10.0,Single,Female,,Excellent,Religious,12.0,Liberal
Pretty Happy,31.0,26243.0,9.0,Divorced,Male,Retired,Poor,Not Religious,15.0,Conservative
Pretty Happy,32.0,143150.0,18.0,Married,Female,Unemployed,Good,Religious,9.0,Liberal
Very Happy,46.0,96891.0,11.0,Divorced,Female,Employed,Good,Religious,7.0,Liberal
Pretty Happy,44.0,,10.0,Married,Male,Employed,,,17.0,Moderate
Very Happy,74.0,119861.0,8.0,Married,Female,Employed,Fair,Not Religious,14.0,Liberal
Very Happy,61.0,20821.0,10.0,,Female,,Good,Religious,,Conservative
Not Too Happy,18.0,70584.0,19.0,Married,Female,Employed,Excellent,Not Religious,18.0,Conservative
Not Too Happy,55.0,105642.0,9.0,Divorced,Female,Employed,Excellent,Religious,0.0,Liberal
Not Too Happy,59.0,45773.0,,Married,Female,Employed,Good,Not Religious,5.0,Conservative
,60.0,46920.0,13.0,Married,Female,Employed,Fair,Religious,,Moderate
Very Happy,73.0,95468.0,16.0,Married,Male,Employed,Fair,Religious,19.0,Conservative
Pretty Happy,52.0,132525.0,15.0,Single,Female,Employed,Good,Not Religious,15.0,Liberal
Pretty Happy,30.0,35876.0,17.0,Single,Female,Employed,Fair,,15.0,Moderate
Very Happy,24.0,54137.0,10.0,Married,Female,Employed,Excellent,Religious,16.0,
Pretty Happy,38.0,40728.0,12.0,Married,Male,Employed,Good,Religious,10.0,Conservative
Very Happy,34.0,96434.0,14.0,Divorced,Female,,Good,Not Religious,,Liberal
Not Too Happy,53.0,98169.0,12.0,Married,Male,,Excellent,Not Religious,9.0,Moderate
,37.0,79605.0,15.0,,Female,Retired,Fair,,,Liberal
Pretty Happy,,65257.0,19.0,,Male,Student,Excellent,Religious,13.0,Liberal
Pretty Happy,79.0,53502.0,12.0,Single,Male,Retired,Good,Not Religious,1.0,Moderate
Pretty Happy,70.0,70040.0,8.0,Married,Male,Employed,Good,Religious,16.0,Conservative
Pretty Happy,,50036.0,12.0,,Male,Retired,Good,Not Religious,1.0,Moderate
Very Happy,53.0,148085.0,,Married,Female,Unemployed,Good,Religious,8.0,
Not Too Happy,44.0,103256.0,,Widowed,Female,Employed,Excellent,,11.0,Liberal
Pretty Happy,25.0,142885.0,10.0,Married,Female,Employed,Fair,Not Religious,2.0,Moderate
Not Too Happy,28.0,119695.0,18.0,,Male,Retired,Good,Not Religious,3.0,Moderate
,,49255.0,12.0,Married,Male,Employed,Good,Religious,3.0,
Pretty Happy,51.0,104078.0,9.0,Married,Female,Employed,Poor,Religious,4.0,Moderate
Not Too Happy,54.0,136292.0,18.0,Single,Female,Retired,Fair,,,Moderate
,59.0,76542.0,13.0,Married,Male,Retired,,Religious,4.0,Moderate
Very Happy,46.0,,19.0,Divorced,Female,Employed,Fair,,1.0,Moderate
Very Happy,79.0,33956.0,13.0,Divorced,Male,Employed,Excellent,Religious,,Moderate
Pretty Happy,83.0,,12.0,Divorced,,Employed,Excellent,Not Religious,7.0,Liberal
Pretty Happy,,,,Married,Female,Retired,Good,Religious,16.0,
Very Happy,33.0,127505.0,18.0,Single,Male,Employed,Poor,Religious,9.0,Moderate
Not Too Happy,69.0,140111.0,14.0,Married,Male,Employed,Excellent,Religious,7.0,Liberal
Pretty Happy,,143251.0,,Divorced,Female,Retired,Good,Religious,19.0,
Very Happy,,116167.0,12.0,Single,Male,Employed,,Religious,9.0,Moderate
Pretty Happy,46.0,27457.0,8.0,Divorced,Male,Unemployed,Fair,Religious,,Moderate
Very Happy,20.0,54302.0,15.0,Married,Female,Employed,Good,Not Religious,14.0,Liberal
,84.0,,11.0,Single,Male,Employed,Good,Religious,,Moderate
Very Happy,,73720.0,16.0,Married,Male,Unemployed,Excellent,Religious,5.0,Moderate
Not Too Happy,23.0,132315.0,17.0,Single,Female,Employed,Fair,Religious,14.0,Liberal
Pretty Happy,64.0,114029.0,19.0,Married,Female,Employed,Poor,Not Religious,18.0,Moderate
,30.0,127591.0,13.0,Single,Female,Employed,Good,Religious,,Moderate
Very Happy,43.0,27334.0,8.0,Single,Female,Unemployed,Good,Not Religious,,Moderate
Not Too Happy,34.0,117810.0,10.0,,Female,Student,Poor,Religious,8.0,Moderate
Pretty Happy,81.0,,10.0,Married,Female,Student,Excellent,Not Religious,13.0,Liberal
Pretty Happy,58.0,55645.0,17.0,Single,Male,,Fair,,18.0,Moderate
Pretty Happy,45.0,73374.0,19.0,Married,Female,Employed,Fair,Religious,17.0,Liberal
,68.0,,19.0,Married,Female,,Excellent,Religious,3.0,
Pretty Happy,77.0,104253.0,11.0,Married,Male,Retired,,Religious,10.0,Conservative
Very Happy,73.0,103990.0,13.0,Married,,Employed,Excellent,Religious,0.0,Moderate
,33.0,42674.0,14.0,Married,Female,Student,Good,Not Religious,3.0,
Pretty Happy,,82200.0,17.0,Single,Male,Employed,Good,Religious,5.0,Liberal
Pretty Happy,31.0,103436.0,11.0,Married,Male,Student,Good,Not Religious,11.0,Liberal
